timestamp_unix,t_in,t_ext,rh,pwm,door,ctrl_mode,phase,session_id,scenario,t_pred,err,integral,kp,ki,kd
1778307609,57.42,35.66,25.20,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307614,57.42,35.69,25.20,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307619,57.42,35.66,25.10,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307624,57.46,35.66,25.10,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307629,57.49,35.71,25.10,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307634,57.51,35.76,25.10,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307639,57.50,35.82,25.10,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307644,57.47,35.83,25.10,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307649,57.40,35.86,25.10,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307654,57.33,35.88,25.10,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307659,57.25,35.88,25.20,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307664,57.19,35.85,25.20,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307669,57.07,35.86,25.30,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307674,57.02,35.89,25.40,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307679,56.90,35.83,25.50,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307684,56.78,35.72,25.60,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307689,56.68,35.71,25.60,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307694,56.57,35.62,25.70,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307699,56.40,35.53,25.80,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307704,56.31,35.46,25.90,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307709,56.19,35.44,25.90,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307714,56.06,35.49,26.00,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307719,55.89,35.52,26.10,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307724,55.80,35.53,26.20,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307729,55.68,35.56,26.30,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307734,55.53,35.63,26.40,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307739,55.41,35.61,26.50,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307744,55.28,35.63,26.60,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307749,55.14,35.61,26.70,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307754,55.06,35.62,26.80,0,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307759,54.91,35.61,26.80,100,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307764,54.80,35.55,26.90,100,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307769,54.69,35.49,27.00,100,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307774,54.56,35.37,27.10,100,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307779,54.49,35.25,27.20,100,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307784,54.41,35.18,27.20,100,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307789,54.36,35.11,27.20,100,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307794,54.31,35.08,27.30,100,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307799,54.28,35.03,27.30,100,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307804,54.25,34.98,27.40,100,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307809,54.25,34.96,27.30,100,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307814,54.31,34.94,27.30,100,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307819,54.31,34.94,27.30,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307824,54.29,35.00,27.30,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307829,54.35,34.94,27.30,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307834,54.38,34.83,27.20,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307839,54.39,34.79,27.30,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307844,54.39,34.76,27.20,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307849,54.42,34.71,27.20,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307854,54.41,34.73,27.20,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307859,54.39,34.77,27.20,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307864,54.38,34.80,27.20,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307869,54.35,34.86,27.20,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307874,54.35,34.96,27.20,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307879,54.31,35.01,27.20,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307884,54.26,35.04,27.30,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307889,54.24,35.05,27.30,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307894,54.18,35.10,27.40,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307899,54.15,35.14,27.40,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307904,54.11,35.13,27.40,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307909,54.05,35.08,27.40,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307914,54.01,35.01,27.40,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307919,53.95,34.90,27.50,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307924,53.91,34.80,27.50,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307929,53.84,34.80,27.50,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307934,53.80,34.74,27.60,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307939,53.71,34.74,27.70,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307944,53.66,34.74,27.70,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307949,53.61,34.79,27.70,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307954,53.53,34.79,27.80,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307959,53.49,34.82,27.90,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307964,53.42,34.87,27.90,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307969,53.37,34.90,27.90,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307974,53.29,34.97,28.00,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307979,53.25,34.96,28.00,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307984,53.22,34.91,28.10,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307989,53.15,34.93,28.10,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307994,53.09,34.87,28.20,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778307999,53.02,34.84,28.20,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308004,52.98,34.84,28.20,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308009,52.94,34.86,28.20,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308014,52.85,34.90,28.30,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308019,52.82,34.97,28.40,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308024,52.77,35.08,28.40,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308029,52.71,35.13,28.40,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308034,52.65,35.11,28.50,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308039,52.60,35.11,28.50,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308044,52.57,35.15,28.60,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308049,52.50,35.19,28.60,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308054,52.47,35.15,28.60,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308059,52.42,35.13,28.70,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308064,52.37,35.05,28.70,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
1778308069,52.34,35.00,28.80,25,1,,DISTURB,,,0.000,0.000,0.000,0.000,0.000,0.000
