timestamp_unix,t_in,t_ext,rh,pwm,door,ctrl_mode,phase,session_id,scenario,t_pred,err,integral,kp,ki,kd
1778983357,32.00,31.49,63.70,60,1,tinyml,,,,32.000,0.000,0.000,0.000,0.000,0.000
1778983362,32.12,31.52,63.30,60,1,tinyml,,,,32.120,0.000,0.000,0.000,0.000,0.000
1778983367,32.26,31.49,63.00,60,1,tinyml,,,,32.260,0.000,0.000,0.000,0.000,0.000
1778983372,32.41,31.50,62.70,60,1,tinyml,,,,32.410,0.000,0.000,0.000,0.000,0.000
1778983377,32.61,31.49,62.20,60,1,tinyml,,,,32.610,0.000,0.000,0.000,0.000,0.000
1778983382,32.78,31.50,61.80,60,1,tinyml,,,,32.780,0.000,0.000,0.000,0.000,0.000
1778983387,32.96,31.50,61.30,60,1,tinyml,,,,32.960,0.000,0.000,0.000,0.000,0.000
1778983392,33.18,31.49,60.80,60,1,tinyml,,,,33.180,0.000,0.000,0.000,0.000,0.000
1778983397,33.39,31.49,60.30,60,1,tinyml,,,,33.390,0.000,0.000,0.000,0.000,0.000
1778983402,33.58,31.49,59.90,60,1,tinyml,,,,33.580,0.000,0.000,0.000,0.000,0.000
1778983407,33.82,31.49,59.30,60,1,tinyml,,,,33.820,0.000,0.000,0.000,0.000,0.000
1778983412,34.06,31.52,58.90,60,1,tinyml,,,,34.060,0.000,0.000,0.000,0.000,0.000
1778983417,34.32,31.50,58.30,60,1,tinyml,,,,34.320,0.000,0.000,0.000,0.000,0.000
1778983422,34.52,31.50,57.90,60,1,tinyml,,,,34.520,0.000,0.000,0.000,0.000,0.000
1778983427,34.74,31.49,57.40,58,1,tinyml,,,,34.740,0.000,0.000,0.000,0.000,0.000
1778983432,34.97,31.49,57.00,54,1,tinyml,,,,34.970,0.000,0.000,0.000,0.000,0.000
1778983437,35.22,31.49,56.40,50,1,tinyml,,,,35.220,0.000,0.000,0.000,0.000,0.000
1778983442,35.41,31.50,55.90,46,1,tinyml,,,,35.410,0.000,0.000,0.000,0.000,0.000
1778983447,35.62,31.50,55.50,42,1,tinyml,,,,35.620,0.000,0.000,0.000,0.000,0.000
1778983452,35.83,31.52,55.10,39,1,tinyml,,,,35.830,0.000,0.000,0.000,0.000,0.000
1778983457,36.04,31.52,54.80,35,1,tinyml,,,,36.040,0.000,0.000,0.000,0.000,0.000
1778983462,36.23,31.52,54.30,31,1,tinyml,,,,36.230,0.000,0.000,0.000,0.000,0.000
