timestamp_unix,t_in,t_ext,rh,pwm,door,ctrl_mode,phase,session_id,scenario,t_pred,err,integral,kp,ki,kd
1779012415,34.11,31.25,52.20,100,1,tinyml,,,,33.697,0.000,0.000,0.000,0.000,0.000
1779012420,34.29,31.26,51.90,100,1,tinyml,,,,33.566,0.000,0.000,0.000,0.000,0.000
1779012425,34.54,31.25,51.40,100,1,tinyml,,,,33.828,0.000,0.000,0.000,0.000,0.000
1779012430,34.79,31.22,50.90,96,1,tinyml,,,,33.566,0.000,0.000,0.000,0.000,0.000
1779012435,35.05,31.21,50.50,88,1,tinyml,,,,33.958,0.000,0.000,0.000,0.000,0.000
1779012440,35.32,31.21,50.00,80,1,tinyml,,,,33.697,0.000,0.000,0.000,0.000,0.000
1779012445,35.60,31.18,49.40,72,1,tinyml,,,,33.958,0.000,0.000,0.000,0.000,0.000
1779012450,35.90,31.19,48.90,62,1,tinyml,,,,35.900,0.000,0.000,0.000,0.000,0.000
1779012455,36.16,31.21,48.50,55,1,tinyml,,,,36.160,0.000,0.000,0.000,0.000,0.000
1779012460,36.51,31.16,47.90,44,1,tinyml,,,,36.510,0.000,0.000,0.000,0.000,0.000
1779012465,36.83,31.16,47.30,40,1,tinyml,,,,36.830,0.000,0.000,0.000,0.000,0.000
1779012470,37.14,31.15,46.80,15,1,tinyml,,,,37.140,0.000,0.000,0.000,0.000,0.000
1779012475,37.38,31.14,46.40,11,1,tinyml,,,,37.380,0.000,0.000,0.000,0.000,0.000
1779012480,37.62,31.14,46.00,7,1,tinyml,,,,37.620,0.000,0.000,0.000,0.000,0.000
1779012485,37.86,31.15,45.50,3,1,tinyml,,,,37.860,0.000,0.000,0.000,0.000,0.000
1779012490,38.06,31.12,45.20,0,1,tinyml,,,,38.060,0.000,0.000,0.000,0.000,0.000
1779012495,38.27,31.14,44.90,0,1,tinyml,,,,38.270,0.000,0.000,0.000,0.000,0.000
1779012500,38.47,31.14,44.50,0,1,tinyml,,,,38.470,0.000,0.000,0.000,0.000,0.000
